sonic,rmse_0-6h_dir,bias_0-6h_dir,rmse_6-12h_dir,bias_6-12h_dir,rmse_12-18h_dir,bias_12-18h_dir,rmse_18-24h_dir,bias_18-24h_dir
tnw15.20m,76.9829920264441,-6.104851178105666,116.59350201181722,27.79330167336994,73.97975142277578,-17.01648963997735,84.20474698841718,2.6454151020055345
tnw15.30m,74.40406391863283,8.442163216315379,109.34483952818546,50.60507904817344,64.00952733454254,-19.691767411482065,78.65031127142888,-1.9595430848799784
tnw16.2m,61.77185656447273,-17.00555996670193,106.83236679766732,-47.52167357821994,80.65650066849562,-0.2605301051934547,103.08346576360454,23.14103736532198
tnw16.4m,70.54088660267719,1.1266396480984135,106.33525360516144,-41.83959281514485,80.5969492969761,-13.000203963300915,102.3350813011708,19.20721306932237
tnw16.6m,72.26777143030785,1.3103334130181226,106.00049780704522,-24.80482642245822,76.30080888984206,-23.98588836616092,96.79813236663114,-0.052502093929713
tnw16.8m,71.18556559274722,3.762287445407448,110.18478103710676,-27.946779276529945,77.12111707240267,-12.685883979589672,91.6892825188011,8.789600925250317
tnw16.10m,68.17612782119915,0.9041636555989604,114.90326433733294,-5.4165831653171095,76.3423055380357,-22.14585707084656,91.15686570872992,13.382016366489724
tnw16.12m,62.90604854909376,-2.2737899190266906,122.53648086217066,12.93163735911052,72.70897552873265,-13.49262924741109,94.40063187714104,2.886650084483889
tnw16.20m,64.6413886938404,3.72442426596748,121.12501359135636,51.04590770907932,69.33979483000616,-23.24310102608575,92.02799777846988,-0.2716872038459783
tnw16.30m,59.60151997631405,-1.7315647164238783,108.75052145000582,61.75937666426764,67.29715164718101,-11.757569530025055,88.77933328628723,-7.435153108074931
tse01.10m,103.46618418048632,-10.260981814342074,106.51336708499626,10.221834766133629,86.37089227055986,-0.5755571190473745,85.83758529229586,20.530026506127253
tse01.30m,82.55176853425708,0.537210694821683,102.25381921519596,9.387755886501738,70.22189342830066,2.016326605987546,87.23913974512249,5.9486123879157855
tse02.10m,58.90214090242375,-37.21434791136582,34.09920696704414,15.394411064451932,86.80709560118983,-29.80911759164598,70.5784915696583,40.577209765021
tse02.30m,50.34934102177567,1.5543355534871444,46.1479701746713,30.57378533974339,89.94601175145753,17.49172273929384,90.47209161548965,32.73524498303731
tse04.10m,36.35160233388159,14.93575395217472,33.04662869393314,10.23132709060245,16.08325290296203,-9.479422148980037,71.77598460032313,-12.970511705557504
tse04.20m,42.3319487942648,23.47802180235121,38.86496179329068,19.864253754838305,15.10117067606238,-6.285053006998697,51.13194146082947,-17.72819801104863
tse04.30m,45.64767650931751,25.330077438354493,42.5335769860326,22.059580496374767,15.622870827013426,-7.603401771291098,57.04590209581378,-15.159582930223149
tse04.40m,46.58707604053054,13.849348406982427,45.61013272857769,23.71856526800261,15.78066772214386,-7.968861295233832,51.76983396051314,-8.176341854967543
tse04.60m,29.93443285860669,12.64846351114909,49.95816465116632,28.24597530633873,14.97985197495,-5.598741865115695,53.55761385660546,-17.026180441301136
tse04.80m,20.538794812986247,8.304135148790152,53.85938883253858,23.28313296495014,15.128659076452411,-4.625414584011501,48.92684540776848,-33.26465280086914
tse04.100m,19.99500701770953,5.46538978576661,53.79392063754643,15.912104728786147,15.221048335222386,-4.356246001942952,46.49811058943371,-33.109000659539966
tse05.2m,,,,,,,,
tse06.10m,71.03730865969683,2.9247675909015904,94.11686611615112,-4.8195890087540905,54.07701015131291,-3.833500299157037,63.99253516621632,-20.785546038085087
tse06.20m,69.39192036830053,-5.331241876755819,81.8726656203376,-2.686796926937103,51.94319695628602,-2.8559432278357604,63.832492604221024,-23.073309564637075
