sonic,rmse_0-6h_vh,bias_0-6h_vh,rmse_6-12h_vh,bias_6-12h_vh,rmse_12-18h_vh,bias_12-18h_vh,rmse_18-24h_vh,bias_18-24h_vh
tnw15.20m,1.587274022536807,1.2335418971163696,0.5387951990019282,0.1781085905342764,0.9977619036170048,0.7505748706381851,1.2856324386703102,1.069091958445708
tnw15.30m,1.4201256576375358,1.0244618086269166,0.5757370248891229,0.0741806851336956,1.005077103320231,0.6617523698385556,1.2440675361391502,0.961091694823636
tnw16.2m,0.7795700628359427,0.3669530724736849,0.4079808423114703,-0.3525586503262001,0.512039076345019,0.4652957556282017,0.595120877786612,0.5102462147120106
tnw16.4m,1.2429812000833007,0.7170612149142689,0.5051626599645977,-0.3900302829215923,0.8694988458651383,0.80707564252007,0.9722041330597176,0.8731777633564338
tnw16.6m,1.6673057597420462,1.1188195893777475,0.4200284884908638,-0.2283823361006975,1.023815498836822,0.940762054963655,1.1802134923687293,1.0700826068561606
tnw16.8m,2.011129809383096,1.5413149589094586,0.3127014427954721,0.0322932021363576,1.0153821076257386,0.906469968313058,1.2531651210425907,1.1207376989179187
tnw16.10m,2.246252804013735,1.8023797250359324,0.376046245741023,0.2125897818762925,0.9915993816125214,0.8571658463539944,1.2886844804582431,1.1281255301912625
tnw16.12m,2.34673648066835,1.890270800962779,0.4105602643553221,0.2099202094381584,0.9968737411903338,0.8261906696013277,1.2980978462428507,1.108490272811386
tnw16.20m,2.367663620825267,1.8394793739920987,0.5423685555932005,0.117586627601001,1.0158539355662817,0.7333722587355144,1.286411743135622,1.0057936819121571
tnw16.30m,2.11029347454506,1.5720242572988667,0.6492457039615115,0.0147239018272691,0.9981824445193316,0.6082918707481689,1.2505042437355265,0.8942377394167581
tse01.10m,0.779212773025292,0.2286995232945834,1.6297515345730569,1.156428087057756,1.9556567776283305,1.6202514851659404,1.8952821355279512,1.741082303817537
tse01.30m,1.154858989350398,0.6058542069436444,2.1582732595243352,1.1796008910892142,1.7036302647442374,0.670293788517846,1.9628404040568093,1.737966495365567
tse02.10m,1.5808345802369683,1.3914563870147996,1.616492587277852,1.494487465935045,0.943762741104922,0.6709300242088371,2.065218926284791,1.9509352764217056
tse02.30m,1.8898301739369243,1.6093133280197778,0.9936436838484716,0.6273762677422496,1.072478525955526,-0.4465006044018533,2.004266147234787,1.7972010258611044
tse04.10m,2.228512276458268,1.7841960151675011,1.2688213108730042,-0.4551552374617258,0.9976361093587518,0.5872658995299869,0.6973532308173471,0.2552584917748239
tse04.20m,2.2755163879248106,1.8998730780784283,1.3584408224321176,-0.602297297203276,0.6173145058945014,0.1967965661080677,0.942611388202471,0.4813142290202776
tse04.30m,2.221784628520768,1.8569416064555904,1.3601818955433551,-0.6724233449358411,0.6031769243494167,0.1735991863409678,1.102985731391796,0.6589616795102754
